Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value
sp|P05114|HMGN1_HUMAN,wilcoxon_signed_rank,157.0,0.3052256628870964,0.8685410040696104,0.4417303848598238
sp|P05141|ADT2_HUMAN,wilcoxon_signed_rank,44.0,0.00010570138692855835,0.6668575061162261,0.0010458988780827866
sp|P05154|IPSP_HUMAN,wilcoxon_signed_rank,149.0,0.22697687149047852,1.064696145614282,0.35446209120820255
sp|P05155|IC1_HUMAN,wilcoxon_signed_rank,156.0,0.2945980280637741,1.1078839079819767,0.43050424381183067
sp|P05156|CFAI_HUMAN,wilcoxon_signed_rank,202.0,0.9910601079463959,0.981851412006633,0.9941675288534185
sp|P05160|F13B_HUMAN,wilcoxon_signed_rank,157.0,0.3052256628870964,1.1566988893672356,0.4417303848598238
sp|P05161|ISG15_HUMAN,wilcoxon_signed_rank,122.0,0.06623983383178711,1.210875252261051,0.14065706307909132
sp|P05164|PERM_HUMAN,wilcoxon_signed_rank,200.0,0.9553221687674522,1.092482484146489,0.9737874018511052
sp|P05165|PCCA_HUMAN,wilcoxon_signed_rank,75.0,0.0026621222496032715,0.6645002863012422,0.011437354230838047
sp|P05166|PCCB_HUMAN,wilcoxon_signed_rank,160.0,0.33856552094221115,0.8970585957147603,0.47773476477555754
sp|P05181|CP2E1_HUMAN,wilcoxon_signed_rank,62.0,0.0007921457290649414,1.5010088858752932,0.0046303378243394075
sp|P05198|IF2A_HUMAN,wilcoxon_signed_rank,198.0,0.9196710959076881,0.9842773974198773,0.9493442867844688
sp|P05204|HMGN2_HUMAN,wilcoxon_signed_rank,132.0,0.10925160348415375,1.2858821654048649,0.20496420841299995
sp|P05230|FGF1_HUMAN,wilcoxon_signed_rank,49.0,0.00019368529319763184,0.28839117096357225,0.001605346670216641
sp|P05362|ICAM1_HUMAN,wilcoxon_signed_rank,191.0,0.7965622618794441,0.9830451182699373,0.867219213874649
sp|P05386|RLA1_HUMAN,wilcoxon_signed_rank,150.0,0.23591722548007965,0.9346650443919837,0.36392374319476123
sp|P05387|RLA2_HUMAN,wilcoxon_signed_rank,196.0,0.8841757625341415,0.9719535545095953,0.9254437261507842
sp|P05388|RLA0_HUMAN,wilcoxon_signed_rank,57.0,0.0004729032516479492,0.526008994543025,0.0031740737128091025
sp|P05413|FABPH_HUMAN / sp|FABPH_HUMAN|P05413,wilcoxon_signed_rank,201.0,0.973184622824192,1.025339580004087,0.9838451664068458
sp|P05452|TETN_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,2.4065313747396844,5.645579413363808e-06
sp|P05455|LA_HUMAN,wilcoxon_signed_rank,102.0,0.020409412682056427,0.7918568381716168,0.05661547483305711
sp|P05543|THBG_HUMAN,wilcoxon_signed_rank,173.0,0.5075842142105103,0.9242124223727535,0.6355065598737905
sp|P05546|HEP2_HUMAN,wilcoxon_signed_rank,123.0,0.06981273740530014,0.6224681884793959,0.14617422635603639
sp|P05556|ITB1_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,1.3423095760218222,0.003674118879820731
sp|P05783|K1C18_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,0.08370470495170085,7.449028392632803e-06
sp|P05787|K2C8_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,0.07401133591162204,9.932037856843735e-06
sp|P05976|MYL1_HUMAN,wilcoxon_signed_rank,145.0,0.1935620754957199,1.4468822168035365,0.31381905415674316
sp|P05997|CO5A2_HUMAN,wilcoxon_signed_rank,80.0,0.004060737788677216,1.3665699165924066,0.01603907872252013
sp|P06132|DCUP_HUMAN,wilcoxon_signed_rank,92.0,0.01025690883398056,1.2435311496418915,0.0329912235216305
sp|P06241|FYN_HUMAN,wilcoxon_signed_rank,137.0,0.13751810044050217,0.8890177858834031,0.24218325284916326
